Home Team,Away Team,Result,Home Team Goals Scored,Away Team Goals Scored,Home Team Possession %,Away Team Possession %,Winning Team Possession Difference %,Home Team Off Target Shots,Away Team Off Target Shots,Home Team On Target Shots,Away Team On Target Shots,Home Team Total Shots,Away Team Total Shots,Home Away Teamlocked Shots,Away Team Blocked Shots,Home Team Corners,Away Team Corners,Home Team Throw Ins,Away Team Throw Ins,Home Team Pass Success %,Away Team Pass Success %,Home Team Clearances,Away Team Clearances,Home Team Fouls,Away Team Fouls,Home Team Yellow Cards,Away Team Yellow Cards,Home Team Second Yellow Cards,Away Team Second Yellow Cards,Home Team Red Cards,Away Team Red Cards,Home Team Goals Conceeded,Away Team Goals Conceeded,year,Half Time Score,Score,Match Excitement,Home Team Rating,Away Team Rating,Home Team Aerials Won,Away Team Aerials Won
2,2,Tie,0,0,36,64,,6,6,3,4,15,15,6,5,8,1,18,21,82,91,12,24,16,8,2,2,0,0,0,2,0,0,2016,0-0,0-0,3.9,6.4,6.2,10,10
2,2,Tie,0,0,64,36,,8,2,3,3,18,5,7,0,12,2,27,35,79,61,43,40,14,11,1,1,0,0,0,1,0,0,2016,0-0,0-0,2.9,5.6,7,18,22
1,0,Away Team Win,1,2,42,58,16,6,2,4,3,16,7,6,2,6,4,21,17,78,86,18,22,7,13,1,3,0,0,0,0,2,1,2016,0-1,1-2,5.6,6.1,6.4,8,14
0,1,Home Team Win,2,1,58,42,16,8,10,6,5,21,16,7,1,5,2,36,18,84,72,30,35,15,12,3,1,0,1,0,0,1,2,2016,0-0,2-1,6.5,5.9,5.4,9,16
0,1,Home Team Win,2,0,47,53,-6,5,3,6,3,11,6,0,0,3,5,30,38,74,68,43,27,12,19,2,4,0,0,0,0,0,2,2016,0-0,2-0,4.3,7.3,5.1,26,31
2,2,Tie,2,2,43,57,,3,2,5,4,9,9,1,3,5,2,32,22,75,83,17,23,16,11,2,1,0,0,0,0,2,2,2016,1-0,2-2,7.7,5.6,7.2,16,16
2,2,Tie,1,1,59,41,,8,2,8,3,21,8,5,3,6,4,27,16,86,76,25,24,14,14,0,3,0,0,0,0,1,1,2016,0-1,1-1,5.1,7.2,6,24,9
1,0,Away Team Win,0,1,47,53,6,7,3,1,4,12,9,4,2,5,2,16,19,84,85,12,30,15,7,0,2,0,0,0,0,1,0,2016,0-1,0-1,3.1,5.9,7.4,9,21
0,1,Home Team Win,1,0,50,50,0,8,2,4,2,15,11,3,7,6,5,30,19,75,76,16,26,10,3,2,0,0,0,0,1,0,1,2016,0-0,1-0,3.5,7.2,6,19,13
0,1,Home Team Win,3,1,57,43,14,6,5,5,7,16,12,5,0,3,6,25,18,83,75,22,26,11,14,2,3,0,0,0,0,1,3,2016,0-1,3-1,6.9,6.5,5.6,11,12
2,2,Tie,1,1,46,54,,2,6,3,1,7,8,2,1,2,3,32,36,69,73,22,27,15,16,4,3,0,0,0,0,1,1,2016,44562,1-1,3.9,6.1,6.2,41,21
2,2,Tie,1,1,54,46,,12,4,3,2,24,6,9,0,14,5,24,22,82,77,15,36,8,12,0,0,0,0,0,0,1,1,2016,0-1,1-1,4.6,6.5,6.3,27,13
1,0,Away Team Win,0,1,61,39,-22,6,7,4,1,15,8,5,0,7,3,38,32,76,63,13,41,11,17,1,3,0,0,0,0,1,0,2016,0-1,0-1,3,6.1,6.4,38,30
0,1,Home Team Win,3,2,34,66,-32,4,9,5,5,12,16,3,2,7,5,24,32,64,81,17,22,26,21,3,3,0,0,0,0,2,3,2016,44594,3-2,8.8,7.3,4.4,18,27
1,0,Away Team Win,1,4,58,42,-16,3,3,3,9,8,14,2,2,11,6,22,13,85,83,20,30,7,7,1,1,0,0,0,0,4,1,2016,44621,1-4,6.5,5.1,8.2,14,13
2,2,Tie,1,1,29,71,,7,8,2,5,11,17,2,4,0,4,19,27,71,88,25,7,16,9,2,0,1,0,0,0,1,1,2016,44562,1-1,4.2,6.7,5.8,12,15
