Result,Home Team Rating,Winning Team Possession Difference %,Home Team Possession %
Home Team Win,7.2,-16,31
Tie,7.5,2,38
Home Team Win,7.1,-30,62
Home Team Win,6.4,-10,57
Home Team Win,6.5,-2,57
Home Team Win,7.4,38,63
Tie,6.1,8,23
Tie,6.1,-32,61
Home Team Win,6.7,8,54
Away Team Win,5.6,-10,38
Tie,6.3,8,40
Home Team Win,7.2,-6,42
Tie,7,10,41
Away Team Win,5.7,-6,70
Away Team Win,5.3,34,46
Tie,6.3,32,47
Home Team Win,6.7,24,56
Away Team Win,4.7,12,38
Away Team Win,6,-4,60
Home Team Win,6.7,-16,43
Tie,6.1,6,58
Home Team Win,6.9,14,58
Home Team Win,6.8,8,53
Tie,6.3,-24,60
Tie,6.9,14,38
Tie,6.2,6,48
Home Team Win,6.4,-2,39
Tie,6.4,-24,40
Tie,6.7,-26,50
Tie,6.1,20,37
Home Team Win,9.2,16,43
Home Team Win,7.3,0,63
Away Team Win,5.4,24,53
Tie,6.5,-14,37
Tie,6.2,14,50
Away Team Win,4.4,-32,62
Home Team Win,7.8,-16,57
Home Team Win,6.2,6,30
Tie,6.2,36,67
Home Team Win,6.9,18,56
Away Team Win,5.3,18,47
Away Team Win,6.3,-12,61
Home Team Win,5.8,-16,31
Home Team Win,7.4,10,52
Home Team Win,7.4,0,52
Home Team Win,6.9,26,55
Tie,6.7,-24,69
Home Team Win,8.7,22,57
Away Team Win,5.1,-38,41
Tie,6.4,-16,33
Home Team Win,6.8,26,31
Away Team Win,5.4,38,49
Home Team Win,6.3,-6,47
Home Team Win,6,14,42
Tie,6.6,18,66
Away Team Win,5.4,2,54
Away Team Win,4.3,10,39
Away Team Win,5.7,18,53
Tie,5,10,36
Home Team Win,6.8,10,57
Home Team Win,7,0,33
Home Team Win,7.3,-14,57
Away Team Win,5.1,0,37
Away Team Win,5.5,32,50
Home Team Win,8.2,28,40
Home Team Win,7.7,6,48
Away Team Win,4.6,-34,54
Home Team Win,6.3,-14,45
Tie,5.8,2,42
Tie,6.7,26,57
Tie,5.6,44,62
Home Team Win,7.2,0,41
Tie,5.7,36,44
Tie,6.5,8,60
Tie,6.6,6,49
Home Team Win,7.4,0,40
Tie,7.2,24,63
Away Team Win,5.1,38,44
Tie,6.7,-20,55
Away Team Win,6.1,-2,63
Home Team Win,7.1,8,39
Home Team Win,6.6,22,46
Tie,5.2,32,50
Home Team Win,7,32,45
Home Team Win,6.5,22,53
Home Team Win,6,32,33
Tie,6.6,14,55
Home Team Win,6.3,-10,43
Away Team Win,5.2,-6,67
Home Team Win,8.2,18,62
Away Team Win,4.2,-10,32
Home Team Win,6.7,-16,51
Home Team Win,8.8,-24,70
Away Team Win,4.6,-4,55
Tie,6.6,20,59
Home Team Win,7.4,-10,45
Tie,6.5,40,49
Tie,6.3,8,55
Away Team Win,5.7,4,50
Home Team Win,7.2,-42,49
Away Team Win,5.9,12,44
Tie,6.1,32,41
Home Team Win,7,12,44
Away Team Win,4.9,26,48
Tie,5.9,32,70
Home Team Win,7.5,-26,55
Tie,6.6,28,48
Home Team Win,8.6,2,76
Home Team Win,8.1,8,53
Away Team Win,4.6,-8,61
Tie,6.4,20,53
Home Team Win,6.5,-20,42
Tie,6.8,46,55
Away Team Win,4.8,-10,49
Away Team Win,5.7,-22,65
Away Team Win,5.7,2,55
Tie,5.9,-12,40
Away Team Win,5.7,4,51
Away Team Win,4.9,-10,31
Home Team Win,8.3,6,54
Away Team Win,6,8,66
Away Team Win,6,16,46
Home Team Win,6.9,16,45
Away Team Win,4.8,16,46
Away Team Win,5.4,10,53
Home Team Win,7.6,46,55
Home Team Win,6.8,-22,47
Home Team Win,6.7,-24,67
Home Team Win,8.4,-8,66
Home Team Win,6.1,-10,62
Home Team Win,6.3,28,56
Home Team Win,7,20,48
Tie,6.3,-2,53
Tie,6.2,-16,50
Away Team Win,5.7,4,58
Tie,7.1,0,43
Away Team Win,5.8,4,47
Away Team Win,5.7,18,43
Home Team Win,7,24,54
Away Team Win,5.4,-26,62
Tie,5.9,24,39
Away Team Win,4.9,-38,43
Home Team Win,6.9,2,53
Home Team Win,8.3,10,49
Home Team Win,6.5,-4,38
Away Team Win,5.1,-14,63
Home Team Win,7.3,-14,60
Home Team Win,8.4,-32,58
Tie,6.8,2,60
Tie,6,-10,52
Home Team Win,6.5,8,50
Tie,6.4,30,57
Home Team Win,7.8,-24,62
Away Team Win,5,2,57
Tie,6.4,32,33
Home Team Win,7.2,4,57
Away Team Win,6.6,8,66
Home Team Win,6.6,32,42
Away Team Win,5.5,20,47
Home Team Win,7.6,-2,68
Home Team Win,7.7,40,59
Home Team Win,6.8,-30,59
Home Team Win,7.3,-22,44
Away Team Win,5.4,-22,58
Away Team Win,6.2,6,45
Home Team Win,6.4,-16,50
Home Team Win,7.1,20,63
Tie,6.6,4,59
Away Team Win,6.2,20,62
Home Team Win,7.3,-18,61
Home Team Win,6.9,-36,31
Home Team Win,8.8,-16,42
Home Team Win,7.1,-6,63
Away Team Win,6,4,31
Home Team Win,6.5,-22,47
Away Team Win,5.7,-20,43
Tie,5.9,50,69
Tie,5.8,0,51
Tie,6.4,4,65
Tie,6.5,32,41
Home Team Win,7,16,59
Home Team Win,6.8,24,51
Home Team Win,7.5,-32,55
Away Team Win,4.8,-38,41
Home Team Win,7.3,18,55
Away Team Win,6.5,-12,45
Tie,7,12,66
Tie,6.4,12,55
Home Team Win,7.6,10,50
Home Team Win,6,34,43
Away Team Win,4.8,28,50
Away Team Win,6.3,24,34
Home Team Win,9.2,-16,64
Away Team Win,5.5,-2,47
Home Team Win,6,6,33
Home Team Win,7.4,-20,43
Away Team Win,6,22,49
Tie,6.2,38,28
Tie,6.5,18,69
Home Team Win,6.9,30,63
Home Team Win,7.7,-4,72
Away Team Win,6,4,50
Home Team Win,8,52,68
Home Team Win,7.4,-4,54
Home Team Win,6.6,36,53
Home Team Win,6.1,10,50
Away Team Win,5.5,28,38
Tie,6,46,54
Away Team Win,4,-42,31
Home Team Win,6.9,-12,40
Home Team Win,6.9,16,49
Home Team Win,7.3,-6,54
Tie,6.3,0,34
Away Team Win,5.1,24,39
Home Team Win,7.6,-14,66
Home Team Win,7.4,-12,66
Away Team Win,4.7,4,39
Home Team Win,8.4,16,66
Home Team Win,6.6,-8,57
Tie,6.1,22,45
Away Team Win,6,6,55
Home Team Win,6.9,8,47
Home Team Win,7.5,0,59
Home Team Win,6.3,2,45
Tie,6.4,-8,47
Home Team Win,7,-6,42
Home Team Win,7.5,-26,38
Tie,6.3,4,46
Home Team Win,7.4,8,48
Away Team Win,5.7,38,40
Tie,5.8,-8,44
Home Team Win,7.8,-24,45
Home Team Win,7.5,16,70
Home Team Win,6.9,-10,54
Home Team Win,6.3,26,52
Away Team Win,6.1,4,71
Home Team Win,7.5,22,56
Away Team Win,5.7,22,34
Away Team Win,5.9,8,44
Away Team Win,5,-12,37
Home Team Win,7.9,4,66
Home Team Win,7,52,37
Home Team Win,7.4,-6,64
Home Team Win,6.2,-30,51
Home Team Win,6.7,16,54
Home Team Win,6.8,-28,46
Tie,6.6,44,45
Tie,6.2,16,47
Home Team Win,6.7,-18,60
Home Team Win,6.2,-36,40
Home Team Win,8.5,20,73
Tie,7,18,39
Tie,6.5,-4,49
Home Team Win,6.8,0,45
Tie,5.8,-20,40
Away Team Win,5.7,-20,61
Tie,6.7,28,49
Away Team Win,5.5,22,49
Away Team Win,5.7,-22,56
Tie,6,12,41
Away Team Win,6,-20,48
Home Team Win,6.8,22,45
Home Team Win,6.4,2,53
Away Team Win,5.7,-18,46
Home Team Win,6.5,36,58
Tie,6.6,-2,49
Home Team Win,6.2,-2,58
Away Team Win,4.7,-28,42
Tie,5.2,22,48
Home Team Win,7.1,4,55
Away Team Win,4.9,-14,27
Tie,6,-6,65
Tie,5.6,12,63
Home Team Win,6.1,22,39
Away Team Win,5.8,-28,62
Home Team Win,6.4,18,46
Away Team Win,5.9,10,55
Home Team Win,8.4,2,64
Home Team Win,7.9,-42,60
Home Team Win,7.9,32,49
Away Team Win,5.4,30,58
Away Team Win,5.9,-6,48
Away Team Win,5.4,-12,50
Home Team Win,6.7,-18,52
Away Team Win,5,0,41
Tie,6.5,-14,50
Home Team Win,7,-24,62
Away Team Win,5.9,-6,63
Tie,6.3,-26,40
Home Team Win,6.8,-14,62
Home Team Win,6.3,16,31
Away Team Win,5.5,44,49
Home Team Win,7.7,-28,55
Home Team Win,6.9,8,48
Away Team Win,5.3,-10,57
Away Team Win,4.8,26,57
Tie,6.4,18,39
Away Team Win,5.8,-14,66
Home Team Win,7.7,24,51
Away Team Win,4.9,30,55
Tie,6.3,-14,56
Home Team Win,6.8,26,54
Home Team Win,8,-6,65
Tie,7,22,60
Home Team Win,6.7,-18,38
Tie,6.2,32,57
Tie,6.4,50,59
Away Team Win,5.3,30,49
Away Team Win,5.8,-6,34
Home Team Win,6.5,-6,52
Away Team Win,4.8,-6,46
Tie,6.5,10,46
Home Team Win,7.8,-4,66
Home Team Win,6.7,-26,60
Away Team Win,5.2,14,51
Away Team Win,4.5,-6,30
Away Team Win,5.2,-18,65
Away Team Win,6.2,-26,61
Home Team Win,6.2,-16,39
Home Team Win,8,44,53
Tie,5.9,8,65
Away Team Win,6,2,58
Tie,6.9,42,55
Away Team Win,5.5,-6,40
Tie,5.7,-40,70
Away Team Win,6.4,-32,48
Home Team Win,6.5,-6,60
Home Team Win,7.3,18,41
Away Team Win,5.3,-6,68
Tie,6,16,43
Away Team Win,5.9,-4,58
Away Team Win,5.9,8,53
Away Team Win,5.7,18,48
Away Team Win,5.3,-22,61
Away Team Win,5.7,14,60
Away Team Win,4,38,25
Away Team Win,5.5,22,50
Tie,6.4,-8,43
Home Team Win,7.4,18,52
Home Team Win,7.4,-28,66
Home Team Win,8.3,-2,58
Tie,6.4,26,68
Away Team Win,4.3,8,38
Tie,6.4,-20,37
Tie,6.2,-4,36
Home Team Win,7.1,10,34
Home Team Win,7.2,22,31
Tie,6,32,48
Tie,6.8,-16,62
Home Team Win,7.3,-10,59
Away Team Win,5.2,-4,56
Tie,6.4,-8,70
Home Team Win,7.2,4,56
Away Team Win,4.2,-20,44
Tie,6.4,44,46
Home Team Win,7.2,4,55
Tie,6.7,-14,50
Tie,6.3,-6,47
Home Team Win,6.9,22,67
Away Team Win,4.6,6,36
Home Team Win,8.2,6,62
Tie,5.8,-38,34
Tie,6.5,-22,57
Home Team Win,6.7,14,42
Tie,6.5,-10,40
Home Team Win,7.2,-20,49
Away Team Win,5.8,-10,47
Home Team Win,7.9,10,40
Home Team Win,7.6,14,61
Home Team Win,6.7,-38,69
Away Team Win,4.9,6,41
Tie,6.4,14,46
Away Team Win,5.3,4,35
Tie,6.4,-22,72
Home Team Win,6.8,-28,48
Home Team Win,7,-14,52
Tie,7,-2,47
Tie,5.7,-28,50
Tie,6,36,27
Home Team Win,7.5,8,76
Tie,6.7,-14,63
Away Team Win,4.9,-26,52
Tie,6.2,-16,64
Away Team Win,4.4,-24,32
Tie,5.8,0,40
Home Team Win,6.6,26,55
Home Team Win,8.2,14,64
Away Team Win,4.8,20,27
Away Team Win,5.9,-8,71
Tie,6.9,24,42
Home Team Win,7.1,24,44
Home Team Win,7.2,2,58
Away Team Win,6,12,53
Tie,6.3,4,56
Away Team Win,4.7,24,50
Home Team Win,7,-4,62
Tie,6.8,18,40
Home Team Win,6.2,2,43
Home Team Win,6.8,-14,44
Away Team Win,5.3,12,48
Tie,5.7,0,58
Home Team Win,6.7,-26,58
Home Team Win,6.3,-12,46
Tie,6.3,-16,34
Home Team Win,8.2,26,61
Tie,6.7,-10,66
Away Team Win,5.3,18,47
Home Team Win,6.8,-6,54
Tie,6.3,-4,44
Home Team Win,7,50,50
Home Team Win,7.1,8,51
Home Team Win,7.3,6,46
Tie,6.1,38,43
Home Team Win,7,22,47
Away Team Win,5.2,18,63
Tie,6.3,-4,49
Home Team Win,7.5,-6,52
Away Team Win,5.2,0,46
Home Team Win,7.6,38,69
Tie,6.1,-4,38
Home Team Win,6.8,-2,46
Home Team Win,7.5,22,38
Away Team Win,5.6,20,42
Tie,6.6,-12,70
Home Team Win,6.8,-4,45
Home Team Win,7.4,-28,63
Home Team Win,6.9,20,52
Tie,6.7,-10,60
Home Team Win,7.1,8,61
Tie,7.1,4,38
Tie,6.6,40,63
Away Team Win,5.7,2,39
Home Team Win,7.1,-14,54
Home Team Win,6.9,-8,44
Home Team Win,7,24,52
Away Team Win,5.3,14,24
Tie,6.5,-44,58
Tie,6.5,-18,59
Home Team Win,6.7,44,47
Away Team Win,4.6,-46,65
Away Team Win,5.7,-4,42
Away Team Win,4.7,-24,64
Tie,6.6,-2,61
Tie,6,6,31
Home Team Win,7.9,-4,72
Tie,7,-18,57
Away Team Win,5.3,-22,42
Home Team Win,6.5,12,41
Home Team Win,6.6,32,32
Home Team Win,8.6,14,60
Tie,7.3,-30,60
Away Team Win,4.8,40,41
Home Team Win,6.6,0,48
Home Team Win,6.8,-20,50
Away Team Win,5.1,32,60
Away Team Win,5.8,6,60
Away Team Win,5.1,34,36
Home Team Win,6.5,32,61
Away Team Win,5.9,-2,61
Away Team Win,6.1,60,44
Home Team Win,7.5,-10,40
Home Team Win,8.2,2,61
Home Team Win,6.9,46,51
Home Team Win,6,28,41
Away Team Win,5,2,32
Tie,6.8,4,68
Away Team Win,5.4,34,51
Home Team Win,8.2,12,49
Home Team Win,7,8,36
Tie,6.4,54,34
Home Team Win,7.9,0,61
Home Team Win,7.6,30,52
Tie,5.6,-12,46
Away Team Win,5.3,40,57
Home Team Win,7.1,14,47
Away Team Win,5.7,6,44
Home Team Win,10,16,61
Tie,6.6,-4,71
Home Team Win,6.6,4,36
Home Team Win,7.1,-14,59
Home Team Win,8.5,16,55
Home Team Win,6.8,-14,51
Home Team Win,6.5,18,29
Home Team Win,8.5,12,66
Tie,6.2,6,51
Tie,6.1,-6,77
Home Team Win,7.4,14,65
Away Team Win,5.9,-22,53
Home Team Win,6.4,18,44
Home Team Win,6.6,10,41
Away Team Win,5.3,-14,50
Home Team Win,7,-24,43
Away Team Win,6.3,-18,62
Home Team Win,6.5,6,47
Home Team Win,7.2,-34,37
Home Team Win,6.3,8,43
Away Team Win,4.6,-12,42
Tie,6.3,12,37
Home Team Win,6.6,24,72
Tie,6.4,-4,72
Home Team Win,7.7,0,36
Tie,6.4,16,58
Home Team Win,6.9,20,54
Home Team Win,7,30,45
Away Team Win,5,4,37
Home Team Win,7.2,18,59
Home Team Win,6.4,26,43
Away Team Win,5,26,38
Home Team Win,7.8,28,65
Tie,6.5,26,72
Tie,6.7,14,65
Away Team Win,4.8,12,57
Away Team Win,5.4,8,37
Away Team Win,5.1,8,53
Away Team Win,5.3,28,39
Home Team Win,6.6,-14,41
Home Team Win,9.5,10,66
Home Team Win,9.1,-6,75
Away Team Win,5.1,-24,35
Home Team Win,6.7,-32,47
Home Team Win,7.2,8,47
Tie,6.2,16,46
Away Team Win,5.7,6,53
Away Team Win,5.6,-2,45
Away Team Win,4.3,-10,52
Home Team Win,7.1,-2,37
Tie,6.1,-10,61
Home Team Win,6.9,8,57
Away Team Win,5.9,2,53
Home Team Win,6.7,22,41
Tie,6.6,30,52
Tie,5.8,-30,32
Home Team Win,6.9,8,37
Home Team Win,7.7,18,42
Home Team Win,8.9,16,72
Home Team Win,7,-16,54
Home Team Win,6.2,62,51
Home Team Win,7.4,-2,71
Tie,6.4,36,42
Away Team Win,5.3,-2,53
Away Team Win,5.6,-20,70
Home Team Win,7.5,10,34
Home Team Win,7.2,22,47
Away Team Win,5.4,24,41
Away Team Win,6,22,53
Home Team Win,7.3,48,58
Tie,6.3,4,68
Tie,5.6,2,49
Home Team Win,8.3,-8,48
Away Team Win,4.9,-4,46
Home Team Win,6.4,18,59
Home Team Win,6.5,4,39
Home Team Win,7.1,12,57
Home Team Win,7.7,22,69
Away Team Win,5.1,-16,39
Home Team Win,7.3,-8,46
Home Team Win,7,22,59
Away Team Win,6.2,-2,64
Home Team Win,6.4,12,49
Tie,6.8,12,52
Away Team Win,5.7,-18,37
Home Team Win,6.8,22,54
Home Team Win,6.7,18,40
Away Team Win,6.2,-44,52
Home Team Win,8,28,55
Home Team Win,7.8,-28,61
Away Team Win,4.9,6,34
Home Team Win,8.1,24,42
Tie,6,-18,45
Home Team Win,7.2,40,45
Tie,6.1,0,30
Home Team Win,6.6,6,48
Home Team Win,6.9,18,46
Home Team Win,6.7,-24,52
Home Team Win,6.8,-16,40
Home Team Win,8.3,20,72
Tie,6.1,14,31
Away Team Win,5.5,14,48
Home Team Win,7,-32,43
Tie,6.1,-10,37
Tie,6.7,-50,62
Away Team Win,5.8,-10,53
Home Team Win,8.8,-24,61
Away Team Win,5.4,6,47
Home Team Win,6.8,4,53
Home Team Win,7,46,31
Tie,7.2,2,60
Home Team Win,7,-20,39
Tie,5.3,-18,43
Home Team Win,6.6,-12,57
Tie,6.6,-6,61
Away Team Win,4.9,0,55
Home Team Win,6.7,-22,40
Away Team Win,5.8,-6,55
Away Team Win,5.2,18,45
Away Team Win,4.9,10,43
Home Team Win,6.7,-28,31
Tie,6.4,-24,54
Home Team Win,6.1,-10,53
Away Team Win,5.3,26,43
Home Team Win,6.7,-2,52
Home Team Win,6.5,38,39
Home Team Win,6.7,4,36
Away Team Win,5.5,-12,57
Tie,5.7,12,33
Home Team Win,7,14,49
Tie,6.7,2,65
Away Team Win,5.4,2,64
Tie,7.1,20,63
Tie,6,26,44
Home Team Win,7.5,-30,68
Away Team Win,5,38,46
Away Team Win,5.1,36,57
Home Team Win,5.8,16,37
Home Team Win,6.4,-14,42
Home Team Win,7,-12,38
Home Team Win,7.2,-18,50
Away Team Win,5.1,-14,37
Tie,6.3,26,56
Tie,6.4,22,53
Away Team Win,5.7,-14,43
Tie,6.3,2,49
Home Team Win,7.6,-6,60
Home Team Win,7,30,46
Home Team Win,7.7,60,62
Home Team Win,7.9,14,62
Home Team Win,7.1,2,51
Tie,7,2,74
Home Team Win,7.6,0,56
Tie,6.5,2,56
Away Team Win,5.9,18,48
Away Team Win,4.9,-6,38
Away Team Win,5.1,-12,52
Away Team Win,5.5,-2,41
Home Team Win,6.3,16,51
Home Team Win,7.9,26,43
Home Team Win,6.6,-20,56
Home Team Win,6.8,-2,50
Tie,6.2,22,35
Home Team Win,6.7,12,37
Home Team Win,6.3,-20,44
Tie,6.3,30,42
Home Team Win,6.5,28,42
Home Team Win,8.1,36,63
Tie,7.2,14,64
Away Team Win,5.1,28,55
Away Team Win,5.1,24,41
Away Team Win,5.9,44,53
Tie,6.6,16,63
Away Team Win,4.9,2,52
Home Team Win,8.2,10,75
Tie,5.9,26,52
Home Team Win,7.8,2,54
Home Team Win,6.6,22,53
Away Team Win,5.8,-12,31
Home Team Win,7.2,20,61
Home Team Win,6.7,26,59
Home Team Win,6.7,16,48
Home Team Win,6.8,22,47
Away Team Win,5,20,50
Away Team Win,5.9,32,31
Home Team Win,6.6,-8,48
Tie,6.1,28,34
Home Team Win,6.6,-8,49
Away Team Win,5,14,39
Away Team Win,5.8,-8,40
Home Team Win,6.4,6,44
Away Team Win,5.1,-26,52
Home Team Win,7.4,-4,36
Tie,6.1,44,36
Home Team Win,6.6,10,60
Tie,7.1,-12,71
Home Team Win,7.4,30,45
Home Team Win,8,8,54
Home Team Win,7.3,-20,52
Home Team Win,5.8,12,70
Tie,6.7,30,65
Away Team Win,5,-4,49
Home Team Win,7.5,-18,43
Home Team Win,7.3,-2,46
Home Team Win,6.5,-18,62
Tie,6.1,8,48
Home Team Win,7.5,36,57
Home Team Win,6,20,28
Away Team Win,5.7,26,59
Away Team Win,3.6,24,28
Away Team Win,6.1,-6,73
Away Team Win,5,0,52
Tie,6.3,-12,54
Away Team Win,5.8,6,62
Home Team Win,6.9,4,49
Home Team Win,6.6,30,53
Home Team Win,6.6,38,48
Home Team Win,7.1,-6,41
Tie,6.3,44,58
Home Team Win,7,-18,39
Away Team Win,5.6,18,44
Home Team Win,7.6,0,66
Home Team Win,6.7,40,57
Home Team Win,7.1,-34,35
Away Team Win,4.7,-8,30
Home Team Win,7,2,50
Away Team Win,5,6,60
Home Team Win,7.5,46,66
Home Team Win,7.8,-30,53
Tie,5.4,6,44
Home Team Win,7.6,-32,67
Tie,6.4,-28,62
Home Team Win,6.6,8,66
Home Team Win,6.8,20,49
Tie,6.1,-32,41
Away Team Win,5,2,20
Away Team Win,5.7,28,55
Home Team Win,6.6,34,51
Home Team Win,7.3,4,73
Away Team Win,5.8,10,36
Away Team Win,4.9,-8,49
Away Team Win,6.2,8,48
Tie,6.4,-10,43
Home Team Win,6.8,-18,67
Home Team Win,7.6,0,56
Home Team Win,8,-4,54
Away Team Win,5.3,-6,23
Away Team Win,5.7,4,50
Home Team Win,7.8,18,65
Home Team Win,7.8,-38,44
Home Team Win,7.3,16,70
Home Team Win,6.8,-30,57
Away Team Win,5.7,14,47
Tie,5.6,34,55
Home Team Win,7,62,58
Home Team Win,7.3,34,48
Tie,5.6,56,37
Away Team Win,5.1,-34,48
Away Team Win,5.3,30,57
Home Team Win,7.4,28,58
Home Team Win,6.9,12,43
Away Team Win,5.2,0,41
Tie,6,-18,60
Away Team Win,4.7,-4,44
Home Team Win,7,-2,53
