,Home Team Possession %,Away Team Possession %,Home Team Pass Success %,Away Team Pass Success %,Home Team On Target Shots,Away Team On Target Shots
10782,50,50,69,71,6,2
4834,39,61,76,84,5,5
6311,56,44,78,74,2,3
3234,54,46,76,75,3,3
9773,42,58,71,77,5,7
10200,32,68,65,88,1,2
4994,40,60,64,83,5,2
8467,52,48,71,67,7,4
8571,55,45,73,68,3,2
5774,53,47,73,73,5,6
4350,43,57,66,67,7,6
9831,40,60,72,76,4,4
3830,47,53,79,80,5,9
932,67,33,88,67,9,2
10760,41,59,63,72,5,3
9442,43,57,79,81,7,0
4519,48,52,77,80,4,6
7305,48,52,81,83,0,11
5321,74,26,89,67,10,3
8558,62,38,84,74,3,1
10935,46,54,82,84,4,5
12060,56,44,83,75,6,4
8045,52,48,75,76,2,4
3588,48,52,79,79,4,6
4806,56,44,81,75,7,3
8863,54,46,76,72,5,2
322,49,51,83,85,3,4
4198,40,60,78,83,0,4
1614,63,37,89,79,2,4
5156,29,71,68,88,4,5
619,56,44,79,78,2,2
1370,39,61,82,89,0,9
999,57,43,88,81,7,3
9039,50,50,68,67,6,1
4608,39,61,82,88,9,2
2962,40,60,77,86,5,3
2416,46,54,80,85,3,6
701,44,56,76,81,3,3
7497,45,55,83,85,3,5
5962,57,43,82,74,5,4
3339,61,39,85,75,5,3
7591,49,51,85,84,3,4
80,47,53,77,80,6,6
10711,56,44,84,78,8,4
6763,41,59,74,82,6,5
2283,66,34,90,78,8,1
2198,60,40,89,85,10,3
741,41,59,76,86,4,5
3357,57,43,88,79,7,6
1013,53,47,81,76,8,3
2610,63,37,87,79,5,8
4654,38,62,72,85,1,4
1484,46,54,81,85,7,4
6564,60,40,89,81,3,1
8301,64,36,87,66,2,4
1081,32,68,69,84,4,6
4133,63,37,87,79,2,0
2971,58,42,78,75,1,2
3569,61,39,80,64,14,2
121,36,64,61,80,2,4
6710,62,38,75,60,1,3
581,55,45,89,85,7,1
7937,38,62,69,84,5,7
8482,61,39,83,72,6,2
8459,41,59,78,86,11,4
8995,26,74,76,92,6,5
5111,43,57,75,80,4,2
7871,48,52,72,74,4,3
11430,37,63,78,88,1,6
175,48,52,80,77,6,2
2677,79,21,92,65,13,1
7381,60,40,87,80,1,4
2689,76,24,90,70,7,2
9144,35,65,71,84,2,2
3147,55,45,80,78,5,2
1697,50,50,86,84,5,4
3329,43,57,77,81,1,0
3943,47,53,73,76,8,5
6787,63,37,87,76,6,4
7627,59,41,77,64,3,5
10368,42,58,73,77,3,5
5684,51,49,87,87,3,3
11195,53,47,79,79,5,4
5656,65,35,85,72,7,8
10966,67,33,89,76,8,2
5869,70,30,85,61,3,0
7051,73,27,82,46,3,4
3546,51,49,77,75,6,1
10405,44,56,72,78,3,8
9977,58,42,83,74,6,0
11393,40,60,60,74,3,3
1122,30,70,70,89,3,4
6662,79,21,92,71,5,0
5376,51,49,78,79,4,2
3256,42,58,70,75,5,2
1229,52,48,82,84,8,2
5404,46,54,78,80,2,6
8383,62,38,88,78,8,2
9615,44,56,75,83,5,4
1933,55,45,88,86,6,3
7762,56,44,82,77,5,5
1434,68,32,89,77,7,2
9716,54,46,76,74,1,2
3935,60,40,85,79,5,6
8411,53,47,80,81,6,4
1277,81,19,90,57,10,1
11934,35,65,77,89,7,5
5104,28,72,62,88,3,4
9927,71,29,89,70,5,3
7093,64,36,77,66,2,6
1009,66,34,85,71,8,5
9308,77,23,92,74,8,3
876,75,25,88,55,9,0
5479,49,51,67,70,5,2
11551,54,46,80,74,5,1
737,57,43,76,73,3,7
10740,50,50,80,80,5,6
305,63,37,86,75,3,4
6032,45,55,76,82,4,9
9376,64,36,91,87,12,2
6486,72,28,88,60,2,1
471,46,54,73,75,3,3
9340,69,31,85,64,8,0
10536,59,41,83,76,4,7
11727,57,43,82,79,5,5
10503,52,48,80,79,3,5
1477,40,60,80,88,0,4
11669,59,41,78,67,5,6
9705,50,50,75,74,3,2
2925,47,53,78,82,4,8
4764,46,54,74,78,5,3
2299,55,45,83,79,4,6
5877,64,36,81,66,11,2
10607,60,40,79,67,5,5
2552,40,60,79,86,2,3
2476,57,43,80,74,3,6
5940,62,38,85,75,8,6
2659,44,56,76,80,4,3
10618,68,32,93,82,5,6
866,44,56,78,83,3,3
238,41,59,77,81,3,2
4298,59,41,87,84,10,3
903,49,51,74,75,2,4
5234,48,52,80,79,6,1
5152,44,56,74,81,3,1
6364,65,35,86,74,5,4
7577,70,30,82,59,4,4
1265,60,40,83,78,4,4
9697,36,64,70,83,4,4
11461,51,49,81,79,4,5
8241,46,54,73,74,6,6
2668,22,78,59,88,1,3
2945,54,46,63,65,4,9
902,65,35,83,70,2,2
575,59,41,88,82,2,2
6297,75,25,90,74,7,2
1995,53,47,90,86,11,3
11871,51,49,74,72,3,5
9342,65,35,83,74,4,2
11262,61,39,77,68,3,3
6706,45,55,81,86,9,5
2226,43,57,76,82,5,5
107,59,41,82,77,2,5
2070,55,45,80,75,2,8
1463,27,73,67,88,3,4
1123,44,56,76,82,4,1
7224,46,54,61,68,2,5
7221,40,60,84,90,2,7
538,66,34,87,74,8,0
7909,29,71,66,89,2,6
3279,56,44,80,76,0,3
772,68,32,85,69,5,3
2548,52,48,68,66,1,6
1317,53,47,83,81,5,7
11302,54,46,73,69,1,8
10734,56,44,79,76,3,4
7339,52,48,79,80,5,4
7438,63,37,80,66,6,4
11599,46,54,72,77,5,9
9349,61,39,87,79,6,2
7863,54,46,73,62,3,0
9997,48,52,76,77,6,1
11651,57,43,82,78,3,2
2362,44,56,79,81,4,3
3778,50,50,81,80,5,7
5532,51,49,82,83,4,4
9004,60,40,71,56,4,2
3902,66,34,89,82,7,2
9726,61,39,86,74,1,2
10419,61,39,84,78,6,2
7798,39,61,71,81,3,4
8202,51,49,80,76,9,2
10720,53,47,85,80,6,1
10348,51,49,76,75,7,5
8895,44,56,74,77,6,5
7557,52,48,83,86,6,4
7929,59,41,81,74,6,1
10638,54,46,80,75,6,0
262,57,43,87,79,7,3
3000,56,44,86,86,3,4
294,42,58,83,88,2,6
8323,53,47,86,84,7,3
6552,53,47,84,79,6,7
5972,45,55,73,75,3,2
3058,40,60,74,80,4,3
3142,58,42,82,74,3,2
1887,52,48,81,81,5,4
10404,57,43,84,77,8,2
3102,58,42,82,73,3,3
7961,56,44,80,72,1,5
9231,41,59,76,75,8,7
10985,61,39,87,77,11,4
5856,45,55,79,82,7,4
9735,55,45,82,72,6,8
7086,57,43,80,72,6,5
10248,50,50,70,70,4,1
11073,54,46,77,77,6,2
1891,53,47,87,86,3,1
7166,48,52,85,86,5,8
7429,39,61,63,78,1,4
9674,58,42,71,61,3,2
5731,58,42,76,67,1,4
9392,56,44,70,66,11,2
342,40,60,78,85,5,12
11738,46,54,80,83,3,6
2243,43,57,70,76,3,5
9436,54,46,82,77,9,0
1215,50,50,77,80,4,2
11103,49,51,74,78,5,1
3821,40,60,69,82,3,2
12011,43,57,78,78,3,7
5862,48,52,81,79,6,4
8372,60,40,88,81,3,5
7368,52,48,71,70,3,4
6944,58,42,77,67,5,6
8949,57,43,79,73,4,3
8627,65,35,84,68,6,3
2978,51,49,82,81,9,3
5695,79,21,88,56,2,3
8813,55,45,80,78,3,5
5747,47,53,80,85,2,9
9370,43,57,81,86,10,1
1031,58,42,79,73,5,1
7870,48,52,78,80,4,3
397,42,58,75,83,5,2
11471,65,35,92,81,5,1
6617,55,45,85,79,6,3
10170,36,64,73,83,7,6
3450,50,50,76,77,4,4
1350,23,77,71,91,1,7
6991,64,36,81,66,2,8
4885,42,58,70,79,7,5
5822,63,37,79,63,5,1
9580,63,37,82,70,4,3
8503,58,42,83,83,4,4
332,48,52,70,78,6,5
3496,71,29,87,69,2,5
11254,63,37,84,73,6,2
5987,46,54,81,87,1,0
4870,50,50,62,64,0,1
9923,34,66,80,90,2,5
5935,36,64,75,87,5,1
6241,26,74,64,89,0,9
4180,53,47,87,87,3,7
1116,38,62,63,76,7,4
3868,59,41,89,85,4,7
5513,79,21,92,70,5,1
4082,57,43,79,69,2,2
441,66,34,81,63,11,6
2538,60,40,86,77,4,5
8360,47,53,78,83,2,3
5495,75,25,89,65,8,4
11141,52,48,82,80,4,7
7145,63,37,79,71,4,3
177,40,60,85,86,6,2
7072,24,76,68,90,2,8
4071,69,31,83,61,4,6
5459,53,47,74,73,4,4
2509,51,49,88,90,12,2
10525,50,50,81,80,15,3
2457,39,61,82,88,1,4
7299,50,50,77,79,2,3
3814,51,49,85,87,5,5
9044,61,39,90,80,8,0
3145,45,55,82,82,3,4
4799,46,54,72,75,3,6
11209,46,54,81,81,7,6
436,49,51,75,77,5,4
1525,38,62,80,87,2,3
7679,43,57,61,69,3,3
4445,65,35,81,71,8,5
11580,68,32,90,76,3,4
2270,63,37,90,79,5,1
6029,50,50,82,81,2,4
8221,52,48,82,79,6,3
1139,63,37,89,78,7,2
5823,35,65,66,83,5,2
2946,43,57,83,84,5,6
9082,49,51,74,73,4,1
4260,61,39,88,82,6,2
2740,66,34,86,75,5,3
5488,51,49,64,63,2,7
5269,48,52,78,77,4,3
5069,77,23,87,61,7,1
1986,31,69,75,88,2,4
2563,29,71,75,91,6,8
5744,78,22,90,63,8,2
1882,39,61,73,85,9,5
1310,40,60,70,83,1,7
659,44,56,66,69,3,4
7634,67,33,81,55,9,6
5953,37,63,76,86,6,0
8206,47,53,82,84,6,4
529,60,40,82,74,4,0
6877,27,73,65,87,6,10
1296,58,42,84,80,7,3
2492,37,63,76,86,4,4
1505,65,35,79,58,0,2
8600,44,56,80,81,6,5
8178,61,39,83,71,10,4
702,61,39,89,81,14,0
421,43,57,81,86,5,1
10743,36,64,69,80,6,1
6714,50,50,80,83,2,7
3916,40,60,68,75,5,4
1094,55,45,79,77,1,2
10859,38,62,79,85,2,1
6712,65,35,83,66,6,2
2982,31,69,55,79,2,4
5920,42,58,67,81,1,4
6332,61,39,80,72,3,3
7983,52,48,76,73,5,1
6273,66,34,81,63,3,3
11282,58,42,86,78,4,8
9634,53,47,85,81,11,2
10129,46,54,79,78,6,3
11229,38,62,79,87,2,5
3950,38,62,68,80,3,2
6594,46,54,73,72,4,4
6886,72,28,82,58,3,6
8090,56,44,85,79,6,6
9832,53,47,61,53,6,2
11134,68,32,83,60,5,3
6373,69,31,86,68,2,6
7560,54,46,75,72,5,5
1550,57,43,87,85,4,1
1946,30,70,69,86,5,3
1433,67,33,88,71,14,3
11737,57,43,86,77,8,4
2681,62,38,86,79,7,5
6458,63,37,83,69,3,1
3320,38,62,77,84,6,4
4494,60,40,86,79,10,2
9847,55,45,74,67,1,5
4224,38,62,81,87,1,6
11035,34,66,73,86,2,6
12036,44,56,83,86,4,1
7225,59,41,83,75,4,4
2075,68,32,85,64,8,2
2984,17,83,53,91,2,3
10994,33,67,77,88,5,8
1713,53,47,82,77,6,5
10968,50,50,78,80,3,3
7459,33,67,69,86,3,2
1141,57,43,82,74,6,1
2731,25,75,70,89,3,8
2820,46,54,76,77,2,2
3235,43,57,72,80,5,3
1143,53,47,86,80,10,2
11479,54,46,86,81,13,1
4886,46,54,73,79,4,2
10912,45,55,84,84,6,0
11834,55,45,89,86,7,4
3799,40,60,71,80,3,4
4289,71,29,89,65,5,1
6966,61,39,81,74,3,5
3397,37,63,76,84,8,2
2083,52,48,78,78,10,4
10425,47,53,79,85,2,6
5780,47,53,78,83,2,7
644,69,31,88,75,10,2
7548,52,48,71,71,3,5
5297,40,60,72,80,2,8
3895,20,80,64,91,4,6
8275,72,28,85,57,1,3
8296,41,59,66,77,4,3
742,66,34,91,78,12,1
2626,56,44,85,82,0,0
10811,68,32,89,75,10,1
11607,50,50,71,75,6,4
11515,35,65,79,88,5,8
751,37,63,78,87,3,4
804,43,57,69,74,3,2
9829,53,47,67,62,6,3
7669,52,48,85,84,2,6
8421,74,26,89,64,3,0
1159,58,42,88,85,4,2
9198,54,46,82,75,5,1
4483,51,49,76,77,4,3
2363,49,51,77,77,7,1
270,52,48,78,75,6,1
4228,52,48,80,76,5,4
1003,61,39,81,69,2,4
11052,58,42,87,82,8,3
1701,60,40,82,71,3,4
10254,53,47,78,74,4,2
6898,62,38,88,80,4,6
9018,47,53,80,82,8,4
8719,46,54,77,81,3,1
891,40,60,77,84,4,6
5277,35,65,70,84,5,4
1604,35,65,71,82,1,9
439,39,61,79,87,5,8
24,42,58,73,79,4,7
8965,51,49,77,78,5,2
5519,50,50,66,68,1,5
11059,57,43,85,82,6,3
1705,52,48,80,78,4,3
6678,55,45,91,89,7,3
10689,45,55,82,84,5,1
7844,60,40,81,72,2,4
6344,54,46,76,75,4,10
5445,65,35,87,76,7,5
11480,47,53,76,78,3,6
1888,52,48,80,78,3,2
7504,59,41,88,82,8,4
10107,51,49,82,80,5,3
10851,43,57,81,86,3,12
3648,47,53,77,76,6,8
6424,44,56,78,83,2,8
9750,64,36,72,63,3,3
4747,35,65,74,85,5,5
4460,41,59,70,76,5,3
11371,64,36,79,61,1,0
8486,41,59,70,79,5,3
7859,59,41,79,68,9,3
6079,59,41,84,76,5,2
8848,38,62,72,80,7,3
4073,52,48,82,82,0,3
325,49,51,76,78,4,5
10906,46,54,76,81,6,5
274,41,59,86,91,1,5
3837,53,47,75,76,2,3
8109,52,48,82,82,1,1
4441,61,39,81,69,5,5
5876,42,58,80,88,2,3
5692,39,61,75,82,8,1
9124,59,41,83,75,6,3
2430,38,62,73,83,3,7
9904,44,56,74,78,3,4
8864,49,51,76,73,8,3
2576,49,51,76,74,5,5
3674,67,33,88,76,7,4
2682,53,47,75,70,5,6
752,61,39,84,73,9,4
11200,74,26,93,78,11,1
7356,58,42,82,77,2,4
3411,54,46,91,90,4,2
4515,39,61,67,82,5,8
8278,44,56,79,85,1,2
6258,43,57,79,83,1,2
9598,44,56,72,77,3,3
8089,64,36,86,71,9,5
1781,46,54,74,76,9,4
2369,65,35,86,77,4,2
11926,66,34,81,69,3,3
113,60,40,84,78,6,8
7465,46,54,67,73,1,2
10213,68,32,89,75,9,8
279,42,58,66,76,2,3
8473,55,45,84,79,6,7
6995,40,60,56,73,7,9
8664,58,42,76,64,6,1
2806,42,58,64,74,5,8
9286,53,47,66,60,7,2
6563,50,50,80,81,5,6
3723,39,61,68,81,2,4
2615,49,51,83,84,2,6
10507,51,49,73,77,7,4
2006,62,38,86,76,4,3
9852,53,47,82,80,6,4
4810,71,29,83,62,5,2
1216,34,66,61,81,3,8
2870,67,33,85,68,7,3
5463,70,30,88,77,7,2
8790,53,47,82,81,5,3
2449,49,51,87,86,7,2
4902,66,34,86,77,4,1
1103,40,60,73,82,5,4
2749,42,58,60,69,4,7
11996,55,45,89,86,2,1
11769,60,40,89,81,6,1
10224,38,62,77,86,7,7
2135,70,30,88,70,2,5
2814,46,54,49,62,7,3
607,52,48,78,77,4,3
2036,61,39,89,82,6,5
1749,59,41,76,69,3,3
11652,55,45,84,78,3,2
7323,47,53,70,73,5,3
12016,43,57,77,82,4,2
7581,38,62,66,80,4,0
10677,61,39,91,85,4,2
3695,51,49,71,70,5,3
6730,49,51,78,83,1,2
7883,51,49,73,69,1,5
7333,40,60,74,82,1,4
1245,34,66,76,85,4,2
4135,57,43,82,78,8,2
6435,37,63,81,89,9,4
2846,71,29,84,65,6,3
7826,69,31,87,70,3,2
1462,59,41,83,70,1,0
7242,66,34,78,61,3,2
10953,60,40,88,78,5,6
5710,37,63,76,88,1,4
1998,56,44,78,71,5,2
259,37,63,75,82,5,2
6111,49,51,75,79,3,2
1665,42,58,82,87,4,8
7205,39,61,72,82,3,7
1908,60,40,90,83,8,3
2301,59,41,86,79,12,3
4191,47,53,83,80,4,4
3563,55,45,80,74,11,3
2549,73,27,86,65,7,1
10957,42,58,81,86,2,5
6920,39,61,74,86,3,7
2651,52,48,89,89,5,3
3801,53,47,80,80,4,8
6998,60,40,87,82,5,8
8270,59,41,78,71,6,3
11843,42,58,82,89,3,6
1528,58,42,89,80,9,2
1152,50,50,81,81,5,2
11899,32,68,70,85,3,5
557,53,47,82,80,2,2
11518,44,56,75,83,2,3
5538,49,51,76,82,6,8
6487,35,65,78,87,1,9
7858,37,63,72,84,5,6
11910,61,39,83,68,3,4
1700,48,52,86,82,5,1
2105,50,50,82,82,3,4
3683,55,45,76,72,8,7
8602,59,41,82,73,0,2
718,62,38,89,83,7,3
947,54,46,85,85,4,2
11000,38,62,75,84,4,4
6367,67,33,92,83,12,0
1493,43,57,71,77,3,3
6556,46,54,73,76,4,5
8103,39,61,87,92,5,7
5582,54,46,75,74,5,1
9277,69,31,90,77,4,3
10872,59,41,83,78,5,2
600,48,52,69,72,5,4
9689,59,41,80,68,4,3
6358,42,58,76,83,6,4
7388,55,45,84,79,3,2
4339,49,51,85,81,5,2
5154,39,61,77,82,3,6
1917,70,30,89,78,8,4
7089,74,26,82,52,5,5
141,54,46,86,74,9,1
4703,31,69,64,83,3,2
5595,36,64,70,80,3,4
8680,59,41,77,70,9,3
4542,31,69,58,79,3,3
5872,71,29,83,62,8,3
1698,55,45,83,79,8,2
10284,35,65,73,87,4,3
1257,45,55,73,79,1,11
10582,46,54,76,78,8,2
11895,63,37,86,80,5,6
6843,54,46,88,86,5,1
8910,37,63,78,85,5,6
11965,53,47,81,80,6,4
8712,59,41,78,66,5,2
8153,41,59,66,74,3,1
3785,37,63,80,88,2,6
4879,46,54,84,84,2,7
10413,60,40,90,79,4,3
9054,57,43,82,74,10,2
10378,50,50,84,84,6,1
8533,66,34,84,74,6,3
6346,61,39,87,80,1,3
799,52,48,75,76,7,5
6823,51,49,85,86,2,3
3068,69,31,86,66,6,3
10928,46,54,79,84,2,4
561,25,75,69,90,3,10
