Home Team Fouls,Home Team Fouls Z-Score,Home Team Fouls Min-Max,Winning Team Possession Difference %,Winning Team Possession Difference Z-Score,Winning Team Possession Difference Min-Max
13,0.053767414172349585,0.3939393939393939,46.0,1.9057955483983962,0.8333333333333334
15,0.5381158456487367,0.45454545454545453,14.0,0.4870622348173738,0.5909090909090909
10,-0.6727552330422312,0.30303030303030304,-12.0,-0.6656585824672068,0.3939393939393939
17,1.022464277125124,0.5151515151515151,,,
22,2.233335355816092,0.6666666666666666,,,
10,-0.6727552330422312,0.30303030303030304,-6.0,-0.39964608617076514,0.4393939393939394
9,-0.9149294487804248,0.2727272727272727,,,
15,0.5381158456487367,0.45454545454545453,,,
10,-0.6727552330422312,0.30303030303030304,8.0,0.22104973852093215,0.5454545454545454
10,-0.6727552330422312,0.30303030303030304,-18.0,-0.9316710787636485,0.3484848484848485
6,-1.6414520959950056,0.18181818181818182,14.0,0.4870622348173738,0.5909090909090909
13,0.053767414172349585,0.3939393939393939,12.0,0.39839140271855994,0.5757575757575758
18,1.2646384928633174,0.5454545454545454,-12.0,-0.6656585824672068,0.3939393939393939
26,3.202032218768866,0.7878787878787878,16.0,0.5757330669161878,0.6060606060606061
14,0.2959416299105432,0.42424242424242425,-42.0,-1.9957210639494154,0.16666666666666666
14,0.2959416299105432,0.42424242424242425,-32.0,-1.5523669034553458,0.24242424242424243
16,0.7802900613869304,0.48484848484848486,24.0,0.9304163953114433,0.6666666666666666
13,0.053767414172349585,0.3939393939393939,,,
24,2.7176837872924793,0.7272727272727273,0.0,-0.13363358987432344,0.48484848484848486
9,-0.9149294487804248,0.2727272727272727,0.0,-0.13363358987432344,0.48484848484848486
20,1.7489869243397047,0.6060606060606061,,,
9,-0.9149294487804248,0.2727272727272727,18.0,0.6644038990150016,0.6212121212121212
17,1.022464277125124,0.5151515151515151,14.0,0.4870622348173738,0.5909090909090909
16,0.7802900613869304,0.48484848484848486,16.0,0.5757330669161878,0.6060606060606061
11,-0.4305810173040376,0.3333333333333333,-16.0,-0.8430002466648346,0.36363636363636365
19,1.506812708601511,0.5757575757575758,,,
